"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2025-12-11 15:00:00",1.31998333333333,5.92193333333333,"1b","1b"
"2025-12-11 16:00:00",1.20103333333333,5.59603333333333,"1b","1b"
"2025-12-11 17:00:00",0.924333333333333,5.0877,"1b","1b"
"2025-12-11 18:00:00",0.563766666666667,4.43558333333333,"1b","1b"
"2025-12-11 19:00:00",0.462966666666667,3.50691666666667,"1b","1b"
"2025-12-11 20:00:00",0.35225,2.63976666666667,"1b","1b"
"2025-12-11 21:00:00",0.324466666666667,2.64106666666667,"1b","1b"
"2025-12-11 22:00:00",0.480166666666667,2.42096666666667,"1b","1b"
"2025-12-11 23:00:00",0.355833333333333,1.36276666666667,"1b","1b"
"2025-12-12 00:00:00",0.496533333333333,1.4697,"1b","1b"
"2025-12-12 01:00:00",0.421216666666667,1.35845,"1b","1b"
"2025-12-12 02:00:00",0.43935,1.12636666666667,"1b","1b"
"2025-12-12 03:00:00",0.465416666666667,1.38005,"1b","1b"
"2025-12-12 04:00:00",0.314683333333333,1.45798333333333,"1b","1b"
"2025-12-12 05:00:00",0.293033333333333,1.42405,"1b","1b"
"2025-12-12 06:00:00",0.77165,2.7118,"1b","1b"
"2025-12-12 07:00:00",0.652166666666667,3.12803333333333,"1b","1b"
"2025-12-12 08:00:00",0.77465,4.6421,"1b","1b"
"2025-12-12 09:00:00",1.68048333333333,7.21805,"1b","1b"
"2025-12-12 10:00:00",0.701666666666667,11.3747666666667,"1b","1b"
"2025-12-12 11:00:00",0.95535,10.5944,"1b","1b"
"2025-12-12 12:00:00",0.975033333333333,9.80308333333333,"1b","1b"
"2025-12-12 13:00:00",0.647466666666667,5.82701666666667,"1b","1b"
"2025-12-12 14:00:00",0.667116666666667,5.93846666666667,"1b","1b"
"2025-12-12 15:00:00",1.208,12.0286166666667,"1b","1b"
"2025-12-12 16:00:00",9.21148333333333,25.4546166666667,"1b","1b"
"2025-12-12 17:00:00",28.22825,51.9365833333333,"4b","4b"
"2025-12-12 18:00:00",54.6429,81.8193,"4b","4b"
"2025-12-12 19:00:00",37.79455,65.0204,"4b","4b"
"2025-12-12 20:00:00",31.6876166666667,56.0697166666667,"4b","4b"
"2025-12-12 21:00:00",8.5628,27.8668833333333,"4b","4b"
"2025-12-12 22:00:00",5.81518333333333,20.4640833333333,"4b","4b"
"2025-12-12 23:00:00",0.430883333333333,5.8783,"4b","4b"
"2025-12-13 00:00:00",0.468916666666667,6.31078333333333,"1b","1b"
"2025-12-13 01:00:00",0.350883333333333,5.43631666666667,"1b","1b"
"2025-12-13 02:00:00",0.2697,3.0964,"1b","1b"
"2025-12-13 03:00:00",0.3049,2.48605,"1b","1b"
"2025-12-13 04:00:00",0.26005,3.28801666666667,"1b","1b"
"2025-12-13 05:00:00",0.285233333333333,4.04956666666667,"1b","1b"
"2025-12-13 06:00:00",0.509733333333333,5.0646,"1b","1b"
"2025-12-13 07:00:00",0.3281,5.3425,"1b","1b"
"2025-12-13 08:00:00",0.870216666666667,8.09236666666667,"1b","1b"
"2025-12-13 09:00:00",2.77901666666667,12.33165,"1b","1b"
"2025-12-13 10:00:00",1.33483333333333,8.31038333333333,"1b","1b"
"2025-12-13 11:00:00",2.10926666666667,8.27191666666667,"1b","1b"
"2025-12-13 12:00:00",1.97915,7.02426666666667,"1b","1b"
"2025-12-13 13:00:00",1.67198333333333,6.31916666666667,"1b","1b"
"2025-12-13 14:00:00",1.18478333333333,5.98871666666667,"1b","1b"
"2025-12-13 15:00:00",1.05908333333333,6.91815,"1b","1b"
"2025-12-13 16:00:00",0.864866666666667,5.77041666666667,"1b","1b"
"2025-12-13 17:00:00",0.688033333333333,5.10715,"1b","1b"
"2025-12-13 18:00:00",0.8248,6.48983333333333,"1b","1b"
"2025-12-13 19:00:00",0.875016666666667,6.33051666666667,"1b","1b"
"2025-12-13 20:00:00",0.774233333333333,5.67201666666667,"1b","1b"
"2025-12-13 21:00:00",0.768633333333333,5.62515,"1b","1b"
"2025-12-13 22:00:00",0.66485,5.09136666666667,"1b","1b"
"2025-12-13 23:00:00",0.758116666666667,4.161,"1b","1b"
"2025-12-14 00:00:00",0.7602,4.2409,"1b","1b"
"2025-12-14 01:00:00",0.638166666666667,3.51873333333333,"1b","1b"
"2025-12-14 02:00:00",0.60285,3.52345,"1b","1b"
"2025-12-14 03:00:00",0.647633333333333,3.48768333333333,"1b","1b"
"2025-12-14 04:00:00",0.646316666666667,2.88875,"1b","1b"
"2025-12-14 05:00:00",0.662083333333333,3.105,"1b","1b"
"2025-12-14 06:00:00",0.697883333333333,3.25695,"1b","1b"
"2025-12-14 07:00:00",0.629483333333333,3.19735,"1b","1b"
"2025-12-14 08:00:00",0.810616666666667,3.38151666666667,"1b","1b"
"2025-12-14 09:00:00",0.70125,3.2831,"1b","1b"
"2025-12-14 10:00:00",0.82775,3.07455,"1b","1b"
"2025-12-14 11:00:00",0.795433333333333,2.65765,"1b","1b"
"2025-12-14 12:00:00",0.82565,2.76366666666667,"1b","1b"
"2025-12-14 13:00:00",0.8052,2.77018333333333,"1b","1b"
"2025-12-14 14:00:00",0.677683333333333,2.47143333333333,"1b","1b"
"2025-12-14 15:00:00",0.504266666666667,2.43706666666667,"1b","1b"
"2025-12-14 16:00:00",0.6034,2.87628333333333,"1b","1b"
"2025-12-14 17:00:00",0.488983333333333,2.32361666666667,"1b","1b"
"2025-12-14 18:00:00",0.493883333333333,2.30496666666667,"1b","1b"
"2025-12-14 19:00:00",0.574783333333333,2.83903333333333,"1b","1b"
"2025-12-14 20:00:00",0.5665,2.64426666666667,"1b","1b"
"2025-12-14 21:00:00",0.51195,2.3492,"1b","1b"
"2025-12-14 22:00:00",0.561783333333333,2.12453333333333,"1b","1b"
"2025-12-14 23:00:00",0.5559,1.73901666666667,"1b","1b"
"2025-12-15 00:00:00",0.501166666666667,1.32325,"1b","1b"
"2025-12-15 01:00:00",0.552066666666667,1.26833333333333,"1b","1b"
"2025-12-15 02:00:00",0.537666666666667,1.17406666666667,"1b","1b"
"2025-12-15 03:00:00",0.554433333333333,1.09198333333333,"1b","1b"
"2025-12-15 04:00:00",0.4248,0.778833333333333,"1b","1b"
"2025-12-15 05:00:00",0.522,1.21416666666667,"1b","1b"
"2025-12-15 06:00:00",1.41166666666667,3.4994,"1b","1b"
"2025-12-15 07:00:00",0.97235,3.82855,"1b","1b"
"2025-12-15 08:00:00",NA,NA,"0b","0b"
"2025-12-15 09:00:00",NA,NA,"0b","0b"
"2025-12-15 10:00:00",NA,NA,"0b","0b"
"2025-12-15 11:00:00",NA,NA,"0b","0b"
"2025-12-15 12:00:00",NA,NA,"0b","0b"
"2025-12-15 13:00:00",NA,NA,"0b","0b"
"2025-12-15 14:00:00",1.01084745762712,5.20735593220339,"1b","1b"
"2025-12-15 15:00:00",0.817066666666667,5.91818333333333,"1b","1b"
"2025-12-15 16:00:00",0.551983333333333,4.29888333333333,"1b","1b"
"2025-12-15 17:00:00",0.878333333333333,4.90658333333333,"1b","1b"
"2025-12-15 18:00:00",1.08585,6.06003333333333,"1b","1b"
"2025-12-15 19:00:00",0.530766666666667,7.6181,"1b","1b"
