"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-15 05:00:00,0.181383333333333,0.180833333333333,0.171816666666667,0.1684,0.1602,0.15885,0.159616666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 06:00:00,0.345383333333333,0.36165,0.344816666666667,0.340566666666667,0.324533333333333,0.3334,0.336866666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 07:00:00,0.458816666666667,0.475116666666667,0.451616666666667,0.445166666666667,0.421616666666667,0.431933333333333,0.434733333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 08:00:00,0.5575,0.57085,0.543383333333333,0.534816666666667,0.504583333333333,0.51335,0.516833333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 09:00:00,0.611666666666667,0.621066666666667,0.585716666666667,0.572033333333333,0.537466666666667,0.53795,0.540683333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 10:00:00,0.514083333333333,0.514016666666667,0.48265,0.469566666666667,0.439916666666667,0.442266666666667,0.445466666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 11:00:00,0.518266666666667,0.515066666666667,0.48485,0.473316666666667,0.443733333333333,0.440916666666667,0.443433333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 12:00:00,0.528366666666667,0.514883333333333,0.48065,0.466633333333333,0.437566666666667,0.434316666666667,0.437833333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 13:00:00,0.3938,0.374383333333333,0.349066666666667,0.337416666666667,0.318566666666667,0.312881355932203,0.320457627118644,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 14:00:00,0.51825,0.505083333333333,0.4759,0.465766666666667,0.445216666666667,0.43035,0.4431,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 15:00:00,0.528733333333333,0.514616666666667,0.483833333333333,0.472516666666667,0.450716666666667,0.432933333333333,0.4454,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 16:00:00,0.95835,0.946633333333333,0.89235,0.870066666666667,0.824583333333333,0.805266666666667,0.818833333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 17:00:00,1.46035,1.41126666666667,1.32365,1.28871666666667,1.21895,1.20786666666667,1.22861666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 18:00:00,2.72795,2.60395,2.43045,2.36443333333333,2.23026666666667,2.21563333333333,2.25248333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 19:00:00,4.72971428571429,4.36332142857143,3.92757142857143,3.79260714285714,3.61321428571429,3.52723214285714,3.55026785714286,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 20:00:00,4.3134,3.8918,3.50491666666667,3.36891666666667,3.17346666666667,3.07893333333333,3.08336666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 21:00:00,4.21413333333333,3.80786666666667,3.42186666666667,3.27941666666667,3.0524,2.99313333333333,2.99948333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 22:00:00,3.36555,2.94793333333333,2.6841,2.57566666666667,2.38076666666667,2.33648333333333,2.34053333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 23:00:00,3.30351666666667,3.14706666666667,2.97511666666667,2.90826666666667,2.71278333333333,2.71316666666667,2.72636666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16,2.60901785714286,2.37889285714286,2.19866071428571,2.13030357142857,1.98926785714286,1.95721428571429,1.96758928571429,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 01:00:00,1.89638333333333,1.5555,1.38055,1.31263333333333,1.2295,1.16068333333333,1.15956666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 02:00:00,1.44853333333333,1.26893333333333,1.14665,1.09685,1.03016666666667,0.9765,0.9748,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 03:00:00,1.37043333333333,1.22671666666667,1.11408333333333,1.0695,1.00346666666667,0.9589,0.956466666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 04:00:00,1.35313333333333,1.2208,1.1129,1.07081666666667,1.00278333333333,0.9655,0.96555,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 05:00:00,1.30595,1.18523333333333,1.08563333333333,1.04593333333333,0.977416666666667,0.942,0.942466666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 06:00:00,1.65368333333333,1.5456,1.42845,1.38383333333333,1.29786666666667,1.26883333333333,1.27566666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 07:00:00,1.61988333333333,1.53276666666667,1.42653333333333,1.38513333333333,1.29956666666667,1.27551666666667,1.28375,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 08:00:00,1.6382,1.54068333333333,1.43591666666667,1.39123333333333,1.30246666666667,1.26828333333333,1.27686666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 09:00:00,1.38345,1.3218,1.2434,1.2139,1.14225,1.1086,1.11968333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 10:00:00,1.41026666666667,1.27071666666667,1.17526666666667,1.13408333333333,1.06553333333333,1.02776666666667,1.03785,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 11:00:00,1.04586666666667,1.0135,0.958866666666667,0.939233333333333,0.892016666666667,0.86475,0.878983333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 12:00:00,1.00618333333333,0.95455,0.895533333333333,0.87415,0.829533333333333,0.7933,0.80695,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 13:00:00,0.7908,0.75055,0.703883333333333,0.68435,0.65165,0.611033333333333,0.6241,"1b","1b","1b","1b","1b","1b","1b"
2021-10-16 14:00:00,0.74155,0.694466666666667,0.649666666666667,0.6297,0.60235,0.555966666666667,0.5716,"1b","1b","1b","1b","1b","1b","1b"
